real,real,real,string
ID,sepallength,petallength,label
17,5.4,1.3,?
29,?,1.4,Iris-setosa
39,?,?,?
42,4.5,?,?
73,?,4.9,Iris-versicolor
86,6.0,4.5,Iris-versicolor
97,5.7,?,?
106,?,6.6,Iris-virginica
113,6.8,5.5,Iris-virginica
128,6.1,4.9,Iris-virginica
131,7.4,6.1,?
139,6.0,4.8,?
141,6.7,?,Iris-virginica
144,6.8,5.9,?
150,5.9,?,Iris-virginica
20,5.1,?,Iris-setosa
38,4.9,1.5,?
46,4.8,1.4,Iris-setosa
54,?,4.0,Iris-versicolor
58,4.9,3.3,Iris-versicolor
72,6.1,?,Iris-versicolor
75,6.4,?,Iris-versicolor
95,5.6,4.2,Iris-versicolor
105,?,?,?
107,4.9,4.5,?
108,?,?,Iris-virginica
110,7.2,?,Iris-virginica
116,6.4,5.3,Iris-virginica
117,6.5,5.5,?
132,7.9,6.4,Iris-virginica
25,4.8,1.9,Iris-setosa
32,5.4,1.5,?
60,5.2,?,Iris-versicolor
64,6.1,4.7,Iris-versicolor
69,6.2,?,?
76,6.6,4.4,Iris-versicolor
81,5.5,?,Iris-versicolor
88,6.3,4.4,Iris-versicolor
89,?,4.1,Iris-versicolor
102,?,?,?
112,?,5.3,Iris-virginica
129,6.4,5.6,?
134,?,5.1,Iris-virginica
135,6.1,?,Iris-virginica
136,7.7,6.1,Iris-virginica
5,?,1.4,Iris-setosa
13,?,1.4,Iris-setosa
14,4.3,1.1,Iris-setosa
27,5.0,1.6,Iris-setosa
35,4.9,?,Iris-setosa
43,4.4,1.3,Iris-setosa
53,6.9,4.9,?
57,6.3,?,?
61,5.0,?,?
71,5.9,4.8,Iris-versicolor
78,6.7,5.0,Iris-versicolor
124,6.3,?,Iris-virginica
138,6.4,5.5,Iris-virginica
142,6.9,5.1,Iris-virginica
147,6.3,5.0,Iris-virginica
6,?,1.7,?
22,5.1,1.5,?
47,5.1,1.6,?
49,?,1.5,Iris-setosa
50,5.0,1.4,Iris-setosa
59,6.6,4.6,Iris-versicolor
77,6.8,?,?
82,?,3.7,Iris-versicolor
84,6.0,5.1,Iris-versicolor
92,6.1,4.6,Iris-versicolor
100,5.7,4.1,?
111,6.5,5.1,?
114,?,5.0,?
123,7.7,6.7,?
130,7.2,5.8,Iris-virginica
2,4.9,?,Iris-setosa
4,4.6,?,Iris-setosa
8,5.0,1.5,Iris-setosa
15,5.8,1.2,Iris-setosa
21,5.4,1.7,Iris-setosa
33,5.2,?,Iris-setosa
37,5.5,1.3,Iris-setosa
51,?,4.7,?
55,6.5,4.6,Iris-versicolor
67,5.6,4.5,?
79,6.0,4.5,Iris-versicolor
115,5.8,5.1,?
120,?,5.0,?
140,6.9,?,Iris-virginica
143,5.8,5.1,Iris-virginica
1,5.1,1.4,Iris-setosa
11,5.4,?,?
19,5.7,1.7,Iris-setosa
24,5.1,?,Iris-setosa
45,?,1.9,Iris-setosa
63,6.0,4.0,Iris-versicolor
87,?,4.7,Iris-versicolor
91,5.5,4.4,Iris-versicolor
98,6.2,4.3,Iris-versicolor
104,6.3,5.6,?
118,7.7,6.7,?
121,6.9,5.7,?
122,5.6,4.9,?
125,?,5.7,Iris-virginica
126,7.2,6.0,?
16,5.7,1.5,?
23,4.6,?,Iris-setosa
26,5.0,?,?
28,?,?,Iris-setosa
30,?,1.6,?
36,5.0,1.2,?
41,5.0,?,Iris-setosa
70,?,3.9,?
74,6.1,?,Iris-versicolor
80,5.7,3.5,Iris-versicolor
94,5.0,?,Iris-versicolor
96,?,4.2,?
109,6.7,5.8,?
127,6.2,?,?
133,6.4,5.6,?
3,?,?,Iris-setosa
10,4.9,?,?
12,4.8,1.6,Iris-setosa
34,5.5,1.4,?
44,?,?,Iris-setosa
66,?,?,Iris-versicolor
68,5.8,4.1,Iris-versicolor
99,5.1,3.0,Iris-versicolor
103,7.1,5.9,Iris-virginica
119,7.7,?,Iris-virginica
137,6.3,?,Iris-virginica
145,6.7,5.7,Iris-virginica
146,?,5.2,Iris-virginica
148,6.5,5.2,?
149,6.2,5.4,?
