number,number,number
ID,sepalwidth,petalwidth
16,4.4,0.4
21,3.4,0.2
30,3.2,0.2
31,3.1,0.2
65,2.9,1.3
71,3.2,1.8
73,2.5,1.5
91,2.6,?
96,3.0,?
99,2.5,1.1
110,3.6,2.5
111,3.2,2.0
134,2.8,1.5
136,3.0,2.3
144,3.2,2.3
29,3.4,0.2
38,3.1,0.1
57,3.3,1.6
59,2.9,1.3
66,3.1,1.4
76,3.0,1.4
83,2.7,1.2
88,2.3,1.3
98,2.9,1.3
105,3.0,2.2
107,2.5,1.7
112,2.7,1.9
116,3.2,2.3
117,3.0,1.8
123,2.8,2.0
13,3.0,0.1
20,3.8,0.3
25,3.4,0.2
40,3.4,0.2
54,?,1.3
63,2.2,1.0
79,2.9,1.5
86,3.4,1.6
101,3.3,?
102,2.7,1.9
104,2.9,1.8
106,?,2.1
108,2.9,?
121,3.2,2.3
124,2.7,?
17,3.9,0.4
27,3.4,0.4
33,?,0.1
39,3.0,0.2
42,2.3,0.3
47,3.8,0.2
52,3.2,?
55,2.8,1.5
62,3.0,1.5
75,2.9,?
87,3.1,1.5
97,?,1.3
129,2.8,2.1
130,3.0,?
138,3.1,?
11,3.7,0.2
15,4.0,0.2
78,3.0,1.7
80,2.6,1.0
82,2.4,?
90,2.5,1.3
95,2.7,?
118,3.8,2.2
125,3.3,2.1
128,3.0,1.8
133,2.8,2.2
135,2.6,1.4
139,3.0,1.8
145,3.3,2.5
146,3.0,2.3
2,3.0,?
4,3.1,0.2
6,3.9,0.4
12,3.4,0.2
18,3.5,?
22,3.7,0.4
37,3.5,0.2
45,3.8,?
50,3.3,0.2
51,3.2,1.4
69,2.2,1.5
89,3.0,1.3
103,3.0,2.1
131,2.8,1.9
132,3.8,2.0
1,3.5,0.2
3,3.2,0.2
8,3.4,0.2
14,3.0,0.1
32,3.4,0.4
36,3.2,0.2
41,3.5,0.3
46,3.0,0.3
56,2.8,1.3
67,3.0,1.5
81,2.4,1.1
109,2.5,1.8
119,2.6,2.3
142,3.1,2.3
143,2.7,1.9
9,2.9,0.2
10,3.1,0.1
34,4.2,0.2
35,3.1,0.1
44,3.5,0.6
68,?,1.0
94,2.3,?
100,2.8,1.3
113,3.0,2.1
120,2.2,1.5
127,2.8,1.8
137,3.4,2.4
140,3.1,2.1
148,3.0,2.0
150,3.0,1.8
5,3.6,0.2
7,3.4,0.3
23,3.6,0.2
24,3.3,0.5
26,3.0,0.2
28,?,0.2
48,3.2,0.2
53,3.1,1.5
70,2.5,?
92,3.0,1.4
122,2.8,2.0
126,3.2,1.8
141,3.1,2.4
147,2.5,1.9
149,3.4,2.3
